mean sst,stdev sst,n,satellite date,requested lon min,requested lon max,requested lat min,requested lat max,requested date,median sst,mad sst
27.47462887234158,0.23138426880773721,36,2010-12-07,51.241,51.441,-14.394,-14.594,14953,27.50749969482422,0.21372211990356443
27.363166279262966,0.20789483319384647,36,2010-12-07,51.224,51.424,-14.329,-14.529,14954,27.33394145965576,0.24136844959259032
27.330833223130966,0.1980154510184928,36,2010-12-07,51.237,51.437000000000005,-14.273,-14.472999999999999,14954,27.30130958557129,0.16747004928588866
27.264892101287842,0.19169265373239477,36,2010-12-07,51.223,51.423,-14.242,-14.442,14954,27.266883850097656,0.15896250743865967
27.20363261964586,0.2200456210937407,36,2010-12-07,51.234,51.434000000000005,-14.189,-14.389,14954,27.2342529296875,0.11962307968139647
27.534414450327557,0.20879102047939208,36,2010-12-15,51.193,51.393,-14.111,-14.311,14955,27.551965713500977,0.20362109298706055
27.525509463416206,0.21604373420114978,36,2010-12-15,51.141,51.341,-14.069,-14.269,14955,27.50965118408203,0.23020557060241698
27.49702130423652,0.1981058936870182,36,2010-12-15,51.14,51.34,-14.028,-14.228,14955,27.44582176208496,0.18979863510131834
27.470684634314644,0.17182906400859724,36,2010-12-15,51.123,51.323,-13.98,-14.18,14955,27.425382614135742,0.14354656448364256
27.41677614847819,0.12317650530353756,30,2010-12-15,51.111,51.311,-13.922,-14.122,14956,27.41498374938965,0.1174951337814331
27.417971399095322,0.12123557134246377,36,2010-12-15,51.073,51.273,-13.885,-14.084999999999999,14956,27.41498374938965,0.11696350078582764
27.390558931562637,0.10824240601036338,36,2010-12-15,51.065,51.265,-13.825000000000001,-14.025,14956,27.380916595458984,0.1073926929473877
27.40535842895508,0.10329409305911215,25,2010-12-15,51.001999999999995,51.202,-13.754,-13.953999999999999,14956,27.38808822631836,0.10313962898254395
27.3858891805013,0.10840181515262146,30,2010-12-15,50.966,51.166000000000004,-13.679,-13.879,14957,27.397052764892578,0.06167084140777587
27.360158178541397,0.07937874234028497,36,2010-12-15,50.905,51.105000000000004,-13.599,-13.799,14957,27.386653900146484,0.06698858528137207
27.371392517089845,0.09041644060601473,25,2010-12-15,50.879999999999995,51.08,-13.546000000000001,-13.746,14957,27.395977020263672,0.09250696907043457
27.32672945658366,0.10619008155619622,36,2010-12-15,50.845,51.045,-13.452,-13.652,14957,27.328561782836914,0.09569676704406738
27.31706345876058,0.11154389809824172,30,2010-12-15,50.844,51.044000000000004,-13.423,-13.623,14958,27.31852149963379,0.1206835178375244
27.27232297261556,0.10137286011777599,36,2010-12-15,50.806999999999995,51.007,-13.342,-13.542,14958,27.27333927154541,0.11324206981658935
27.258684412638345,0.07833008302719055,30,2010-12-15,50.798,50.998000000000005,-13.303,-13.503,14958,27.26831817626953,0.09835493202209472
